weight,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
0.4,4.95,3.44,2.37,0,1,0,0,0,0,0,0,5.0,1.0,1.0,0.0,2.0,3.0
0.5,5.15,5.18,3.08,0,0,0,0,0,0,0,1,7.0,3.0,0.0,0.0,0.0,0.0
0.32,3.84,3.83,2.68,0,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,1.0,0.0
0.5,4.97,5.04,3.17,0,0,0,0,0,0,0,1,6.0,2.0,1.0,1.0,2.0,0.0
0.4,4.52,5.14,3.06,0,0,1,0,0,0,0,0,7.0,3.0,0.0,0.0,1.0,0.0
0.5,4.31,4.25,2.99,0,0,0,0,0,0,1,0,5.0,7.0,0.0,1.0,1.0,0.0
0.53,6.78,4.46,2.76,0,0,0,0,1,0,0,0,5.0,1.0,0.0,0.0,1.0,0.0
1.2,5.95,5.71,4.0,1,0,0,0,0,0,0,0,6.0,8.0,1.0,0.0,0.0,0.0
0.5,4.53,4.49,3.01,1,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0,1.0,6.0
0.7,5.35,4.87,3.22,1,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,1.0,0.0
1.1,6.08,5.58,3.8,1,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,0.0
0.9,6.12,5.12,3.45,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0
1.5,10.05,6.2,3.91,0,0,0,0,0,1,0,0,6.0,5.0,0.0,0.0,0.0,3.0
0.7,5.02,4.93,3.34,1,0,0,0,0,0,0,0,6.0,4.0,0.0,0.0,1.0,0.0
0.31,4.41,4.44,2.65,0,0,0,0,0,0,0,1,3.0,4.0,0.0,0.0,0.0,3.0
0.4,4.69,4.71,2.93,0,0,0,0,0,0,0,1,4.0,2.0,0.0,0.0,0.0,4.0
0.5,5.02,5.07,3.16,0,0,0,0,0,0,0,1,4.0,7.0,0.0,0.0,0.0,0.0
0.45,5.22,3.73,2.44,0,1,0,0,0,0,0,0,4.0,3.0,0.0,1.0,1.0,4.0
0.5,5.92,3.76,2.24,0,1,0,0,0,0,0,0,7.0,3.0,1.0,0.0,1.0,0.0
0.5,5.06,5.1,3.16,0,0,0,0,0,0,0,1,7.0,1.0,0.0,0.0,1.0,0.0
0.7,5.0,4.87,3.4,1,0,0,0,0,0,0,0,3.0,4.0,1.0,0.0,0.0,3.0
0.23,3.96,3.98,2.44,0,0,0,0,0,0,0,1,3.0,1.0,0.0,0.0,0.0,0.0
0.3,4.37,4.4,2.61,0,0,0,0,0,0,0,1,5.0,3.0,0.0,0.0,1.0,0.0
0.9,5.4,5.29,3.68,1,0,0,0,0,0,0,0,7.0,7.0,1.0,0.0,1.0,0.0
0.5,6.03,4.43,2.82,0,0,0,0,1,0,0,0,5.0,5.0,0.0,0.0,2.0,0.0
0.81,5.42,5.1,3.45,1,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0,1.0,0.0
0.5,6.41,4.53,2.71,0,0,0,0,1,0,0,0,6.0,1.0,0.0,0.0,1.0,0.0
