id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1771764,PRINCESS,0.3,VS1,E,VG,EX,GD,N,900.28,3.82,3.77,2.67,0,0,0,0,0,0,1,0,4.0,2.0,1.0,0.0,2.0,0.0
1783149,PRINCESS,0.3,VVS1,G,EX,VG,VG,F,900.85,3.73,3.69,2.66,0,0,0,0,0,0,1,0,2.0,4.0,0.0,1.0,1.0,3.0
1781745,PRINCESS,0.3,VS2,D,VG,VG,GD,N,900.85,3.78,3.73,2.54,0,0,0,0,0,0,1,0,5.0,1.0,1.0,1.0,2.0,0.0
1767191,PRINCESS,0.46,VS2,E,VG,EX,GD,F,1256.24,4.06,4.06,2.98,0,0,0,0,0,0,1,0,5.0,2.0,1.0,0.0,2.0,3.0
1797564,PRINCESS,0.35,VVS1,D,EX,EX,VG,N,1256.62,4.0,3.93,2.82,0,0,0,0,0,0,1,0,2.0,1.0,0.0,0.0,1.0,0.0
1763113,PRINCESS,0.4,VS1,H,EX,EX,VG,N,1256.73,4.03,4.01,2.89,0,0,0,0,0,0,1,0,4.0,5.0,0.0,0.0,1.0,0.0
1672027,PRINCESS,0.5,VS1,K,EX,EX,VG,F,1259.58,4.35,4.29,3.1,0,0,0,0,0,0,1,0,4.0,8.0,0.0,0.0,1.0,3.0
1750532,PRINCESS,0.62,SI2,J,EX,EX,VG,N,1261.23,4.59,4.52,3.28,0,0,0,0,0,0,1,0,7.0,7.0,0.0,0.0,1.0,0.0
1747258,PRINCESS,0.5,VS2,J,VG,EX,GD,N,1262.46,4.24,4.19,3.11,0,0,0,0,0,0,1,0,5.0,7.0,1.0,0.0,2.0,0.0
1778815,PRINCESS,0.4,VS2,E,VG,VG,VG,N,1262.89,4.0,3.92,2.87,0,0,0,0,0,0,1,0,5.0,2.0,1.0,1.0,1.0,0.0
1796217,PRINCESS,0.5,SI2,H,EX,EX,VG,N,1263.38,4.38,4.33,3.13,0,0,0,0,0,0,1,0,7.0,5.0,0.0,0.0,1.0,0.0
1789292,PRINCESS,0.5,SI1,J,EX,VG,GD,N,1263.39,4.28,4.24,3.11,0,0,0,0,0,0,1,0,6.0,7.0,0.0,1.0,2.0,0.0
1672963,PRINCESS,0.5,SI2,G,EX,VG,GD,N,1263.99,4.25,4.14,3.16,0,0,0,0,0,0,1,0,7.0,4.0,0.0,1.0,2.0,0.0
1764124,PRINCESS,0.4,VS2,F,EX,EX,GD,F,1266.84,4.03,3.98,2.78,0,0,0,0,0,0,1,0,5.0,3.0,0.0,0.0,2.0,3.0
1781732,PRINCESS,0.4,VS2,E,VG,VG,GD,N,1267.5,4.16,4.07,2.97,0,0,0,0,0,0,1,0,5.0,2.0,1.0,1.0,2.0,0.0
1755802,PRINCESS,0.46,VS1,H,VG,VG,VG,N,1267.8,4.39,4.36,3.01,0,0,0,0,0,0,1,0,4.0,5.0,1.0,1.0,1.0,0.0
1796223,PRINCESS,0.4,SI1,E,EX,EX,VG,N,1270.22,4.15,4.08,2.99,0,0,0,0,0,0,1,0,6.0,2.0,0.0,0.0,1.0,0.0
1654381,PRINCESS,0.53,IF,K,EX,EX,VG,N,1271.45,4.44,4.37,3.19,0,0,0,0,0,0,1,0,1.0,8.0,0.0,0.0,1.0,0.0
